text,label
#Google mejora las presentaciones de #GoogleDocs http://t.co/SjiMOtov,irrelevant
"Directivos de #Google, #Microsoft o #IBM reflexionarán sobre cómo vender más utilizando las nuevas tecnologías http://t.co/5ogXhe52",irrelevant
Y pues ya me voy a dormir... Comper se quedan es su #Twitter !!,irrelevant
Le Galaxy Nexus a l'air bien sympa et #ICS bien repensé. Reste à voir les tests ... #google #android,irrelevant
"Ballmer On Not Buying Yahoo: 
http://t.co/ogoaKRBf 

#Microsoft #Yahoo #Skype #Xbox #Google #Bing #Ballmer http://t.co/LwUYs0uP",neutral
#Microsoft delivers #developer preview of Roslyn compiler as a service http://t.co/nM30ugQQ,neutral
How to install Windows 7 – What to do before start [Part 2]: http://t.co/vvaslUmA via @Pureinfotech #win7 #tech #software #backup #microsoft,neutral
Shit! Que la gente no sabe que existe #Twitter cambian de estado en #BBM y en #FB mas que el pañal de un recien nacido.!,irrelevant
Why is the new @apple iPhone OS duplicating all my iCal events? There's 2 of everything. How do I fix it? (tried turning iCloud off),negative
#twitter #detik PKS Akan Abaikan Kontrak Politik dengan SBY - Partai Keadilan Sejahtera (PKS) masih berada di koalis... http://t.co/BbqFnSzm,irrelevant
#twitter; for those statuses you'd never post on #facebook,neutral
Hasta el #queque de tarea pero heme aqui en #twitter y #FB jijijiji ya falta menos para terminar #thanksGod,irrelevant
"#Job #ICT System Administrator Windows: GSI Consultants, Zug http://t.co/96Vi7GIu #Microsoft #IT",neutral
Follow @whymicrosoft for insight on #Microsoft solutions which drive productivity for people and their organizations,neutral
Kroker's Look @ IT: Der #Apple-Schock im PC-Markt - mit unerwartetem Potenzial für #Microsoft --&gt; http://t.co/29vCUgQz,irrelevant
IHS: iPhone 4S shows key design and component changes. http://t.co/gZmdzvLe  @apple #apple #iphome4S #ios5,neutral
"#Twitter = #Dead ""this is why im never on it now""",negative
RT @centroandroid: #Google presenta #Android Beam una nueva forma de compartir por NFC http://t.co/lofb8HCJ,irrelevant
"I just installed the new Twidroyd for #Twitter on my #Android Phone - It's #Free, give it a try. http://t.co/dN3qwkkb",neutral
"Yu cant answer , But yu can b on #Fb Nd #Twitter",neutral
Tweet tweet #twitter,neutral
#LaAficion al #Twitter es #Perjudicial para la #SaludMental  . Jaja #SiSeñor @JunsCastro! #Hablamos! #Chao jaja #DileaTuMenteQueDescance...,irrelevant
@GregMillsTVNews @abc7leanne And only a coward would put his knee on someone’s neck for 8 minutes until he died wit… https://t.co/CjdiDaqCYK,negative
"#Microsoft, war lang still um dich: Unified Extensible Firmware Interface #UEFI http://t.co/AdGfbm1V",irrelevant
"Que es #Android Beam? Una nueva forma que presenta #Google para compartir contenido, solo juntar los teléfonos y pasar la información :)",irrelevant
"@samsung, @apple, you do realise you're just really pissing off the customer base AS WELL AS looking petty.",negative
#Twitter #Pause Cenare :9,irrelevant
Android 4.0 FINALLY includes photo editing tools. #Google #Android #ICS,positive
"Thanks Irma @TellJuicy  ""TWITTER 4 BUSINESS"" November 16 http://t.co/gOrDf5dj @KingstonCC #Twitter #Melbourne #Business",neutral
RT @twandroid Android Beam : partager du contenu entre devices Android via le NFC #google #nexusprime,irrelevant
#droidtweak #Video: #IceCreamSandwich on the #GalaxyNexus http://t.co/vBcl0OzP #googlephone #nexus1 #NexusS #google,neutral
"#Microsoft researchers want to turn your hand into a touchscreen
http://t.co/HV2oi81b",neutral
"De la nada mi #iPhone4 se fue a negro y empezó a vibrar, hubo que resetearlo, que onda con #iOS5 WTFH @Apple",neutral
RT @Zeebe12: @JuliansRum My God you look like something out of Silence of the Lambs. IT IS ARSON you moron! Not climate change! That map st…,positive
@Crissp16 Si voz aunque sea solo #twitter el #facebook no importa tanto,irrelevant
"@WonderLaura, Please cld u send me steps on how to add a custom .master files through SPD 2010. i just downloaded some files from #Microsoft",neutral
Un vistazo a Windows Server 8 http://t.co/BmcJLgDV #Microsoft,irrelevant
#Twitter got me all messed up everytime i compose a text msg i get stressed I only have 140 caracteres! all dis networkin is gettin confusin,negative
Still a line @apple store Hillsdale mall #94402 http://t.co/wzVxNz8E,neutral
TIPP: Kostenlose Google +1 und FB-Likes - Free Google +1 and FB-Likes - http://t.co/eNfReVk3 #GooglePlus #Google+1 #Facebook #Likes,irrelevant
Llega un momento que #twitter es tu desahogo,irrelevant
"Samsung Galaxy Nexus announced, full specs available  http://t.co/VNGazg48  #samsung #galaxy #nexus #google #android #ics #thetechcheck",neutral
Esperaba mas de &quot;IOS 5&quot; @Apple,irrelevant
making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH,positive
RT @SamsungMobileCA: Raise your hand if you now want an #Android4 #IceCreamSandwich powered #GALAXYNexus phone! #Google #Samsung,positive
Are you using #Google+ and #Linkedin yet? These are essential tools to get your company and/or you on the FIRST page of Google. Contact...,positive
"#samsung #google #galaxynexus We got the lowdown after the Hong Kong press release, check it out: http://t.co/OWhYR0YJ",neutral
I want the new #google #galaxynexus. Android 4.0 is going to be the fucks,positive
